p0,m0,pstar,mstar,mortparms,fertparm,rho,phi,fertscale,mortscale,Y,Y.CV,Yac,Am,J,h,N.guess,span
0.992677282,0.108391111,0.993122862,0.110540103,1.946337089,,0.933572711,1,,,,,,,,,,
0.991727896,0.108391111,0.992234488,0.110540103,2.011185731,,0.933572711,1,,,,,,,,,,
0.991727896,0.108391111,0.992234488,0.110540103,2.011185731,,0.933572711,1,,,,,,,,,,
0.991727896,0.108391111,0.992234488,0.110540103,2.011185731,,0.933572711,1,,,,,,,,,,
0.991727896,0.108391111,0.992234488,0.110540103,2.011185731,,0.933572711,1,,,,,,,,,,
0.991727896,0.088537294,0.992234488,0.090292658,2.011185731,,0.933572711,1,,,,,,,,,,
0.990615839,0.088537294,0.991194483,0.090292658,2.079899775,,0.933572711,1,,,,,,,,,,
0.990615839,0.088537294,0.991194483,0.090292658,2.079899775,,0.933572711,1,,,,,,,,,,
0.990615839,0.088537294,0.991194483,0.090292658,2.079899775,,0.933572711,1,,,,,,,,,,
0.990615839,0.088537294,0.991194483,0.090292658,2.079899775,,0.933572711,1,,,,,,,,,,
0.990615839,0.066829803,0.991194483,0.068154789,2.079899775,,0.933572711,1,,,,,,,,,,
0.989547918,0.066829803,0.9901963,0.068154789,2.139959241,,0.933572711,1,,,,,,,,,,
0.989547918,0.066829803,0.9901963,0.068154789,2.139959241,,0.933572711,1,,,,,,,,,,
0.989547918,0.066829803,0.9901963,0.068154789,2.139959241,,0.933572711,1,,,,,,,,,,
0.989547918,0.066829803,0.9901963,0.068154789,2.139959241,,0.933572711,1,,,,,,,,,,
0.989547918,0.043366201,0.9901963,0.044225991,2.139959241,,0.933572711,1,,,,,,,,,,
0.988455743,0.043366201,0.989175961,0.044225991,2.196478338,,0.886894075,1,,,,,,,,,,
0.988455743,0.043366201,0.989175961,0.044225991,2.196478338,,0.886894075,1,,,,,,,,,,
0.988455743,0.043366201,0.989175961,0.044225991,2.196478338,,0.886894075,1,,,,,,,,,,
0.988455743,0.043366201,0.989175961,0.044225991,2.196478338,,0.886894075,1,,,,,,,,,,
0.988455743,0.016244032,0.989175961,0.016566091,2.196478338,,0.886894075,1,,,,,,,,,,
0.98691438,0.016244032,0.987736801,0.016566091,2.269354772,,0.886894075,1,,,,,,,,,,
0.98691438,0.016244032,0.987736801,0.016566091,2.269354772,,0.886894075,1,,,,,,,,,,
0.98691438,0.016244032,0.987736801,0.016566091,2.269354772,,0.886894075,1,,,,,,,,,,
0.98691438,0.016244032,0.987736801,0.016566091,2.269354772,,0.886894075,1,,,,,,,,,,
0.98691438,0,0.987736801,0,2.269354772,,0.886894075,1,,,,,,,,,,
0.982613094,0,0.983725265,0,2.441642715,,0.872531418,1,,,,,,,,,,
0.982613094,0,0.983725265,0,2.441642715,,0.872531418,1,,,,,,,,,,
0.982613094,0,0.983725265,0,2.441642715,,0.872531418,1,,,,,,,,,,
0.982613094,0,0.983725265,0,2.441642715,,0.872531418,1,,,,,,,,,,
0.982613094,0,0.983725265,0,2.441642715,,0.872531418,1,,,,,,,,,,
0.977005625,0,0.977709577,0,2.190474517,,0.872531418,1,,,,,,,,,,
0.977005625,0,0.977709577,0,2.190474517,,0.872531418,1,,,,,,,,,,
0.977005625,0,0.977709577,0,2.190474517,,0.872531418,1,,,,,,,,,,
0.977005625,0,0.977709577,0,2.190474517,,0.872531418,1,,,,,,,,,,
0.977005625,0,0.977709577,0,2.190474517,,0.872531418,1,,,,,,,,,,
0.965743184,0,0.966818039,0,2.431958067,,0.746858169,1,,,,,,,,,,
0.965743184,0,0.966818039,0,2.431958067,,0.746858169,1,,,,,,,,,,
0.965743184,0,0.966818039,0,2.431958067,,0.746858169,1,,,,,,,,,,
0.965743184,0,0.966818039,0,2.431958067,,0.746858169,1,,,,,,,,,,
0.965743184,0,0.966818039,0,2.431958067,,0.746858169,1,,,,,,,,,,
0.951344594,0,0.952908431,0,2.663680473,,0.746858169,1,,,,,,,,,,
0.951344594,0,0.952908431,0,2.663680473,,0.746858169,0,,,,,,,,,,
0.951344594,0,0.952908431,0,2.663680473,,0.746858169,0,,,,,,,,,,
0.951344594,0,0.952908431,0,2.663680473,,0.746858169,0,,,,,,,,,,
0.951344594,0,0.952908431,0,2.663680473,,0.746858169,0,,,,,,,,,,
0.926056361,0,0.928511424,0,2.969003645,,0.653500898,0,,,,,,,,,,
0.926056361,0,0.928511424,0,2.969003645,,0.653500898,0,,,,,,,,,,
0.926056361,0,0.928511424,0,2.969003645,,0.653500898,0,,,,,,,,,,
0.926056361,0,0.928511424,0,2.969003645,,0.653500898,0,,,,,,,,,,
0.926056361,0,0.928511424,0,2.969003645,,0.653500898,0,,,,,,,,,,
0.888811233,0,0.8926415,0,3.305952788,,0.653500898,0,,,,,,,,,,
0.888811233,0,0.8926415,0,3.305952788,,0.653500898,0,,,,,,,,,,
0.888811233,0,0.8926415,0,3.305952788,,0.653500898,0,,,,,,,,,,
0.888811233,0,0.8926415,0,3.305952788,,0.653500898,0,,,,,,,,,,
0.888811233,0,0.8926415,0,3.305952788,,0.653500898,0,,,,,,,,,,
0.833620382,0,0.839607904,0,3.692761671,,0.653500898,0,,,,,,,,,,
0.833620382,0,0.839607904,0,3.692761671,,0.653500898,0,,,,,,,,,,
0.833620382,0,0.839607904,0,3.692761671,,0.653500898,0,,,,,,,,,,
0.833620382,0,0.839607904,0,3.692761671,,0.653500898,0,,,,,,,,,,
0.833620382,0,0.839607904,0,3.692761671,,0.653500898,0,,,,,,,,,,
0.750836933,0,0.760313911,0,4.163862497,,0.653500898,0,,,,,,,,,,
